#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
RERE	473	0.6328	0.9991	0.9217	0.6328	0.4493	0.3985	0.5022	0.6328	1.0000	0	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart (OMIM:616975): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Spastic tetraparesis (HP:0001285), Postnatal microcephaly (HP:0005484)-Microcephaly (HP:0000252), 	Spasticity (HP:0001257)-abnormal hippocampus neuron morphology (MP:0009939), Postnatal microcephaly (HP:0005484)-abnormal cerebral hemisphere morphology (MP:0008540), 	Postnatal microcephaly (HP:0005484)-abnormal(ly) decreased size head (ZP:0000054), 	Proximity to NR2F1 associated with Optic atrophy-intellectual disability syndrome (ORPHA:401777): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Spasticity (HP:0001257), Postnatal microcephaly (HP:0005484)-Hypoplasia of the corpus callosum (HP:0002079), 	Proximity to NR2F1 Spasticity (HP:0001257)-abnormal cerebral cortex morphology (MP:0000788), Postnatal microcephaly (HP:0005484)-abnormal cerebral cortex morphology (MP:0000788), 	
PKP2	5318	0.5032	0.9999	0.7549	0.0000	0.1937	0.1682	0.5032	0.5032	1.0000	0		Spasticity (HP:0001257)-abnormal myocardium layer morphology (MP:0005329), 	Postnatal microcephaly (HP:0005484)-abnormal(ly) arrested heart looping (ZP:0001462), 	Proximity to SCN5A associated with Romano-Ward syndrome (ORPHA:101016): Seizure (HP:0001250)-Seizure (HP:0001250), 	Proximity to SCN5A Seizure (HP:0001250)-seizures (MP:0002064), 	
MAML1	9794	0.5024	1.0000	0.7537	0.0000	0.3192	0.0000	0.5024	0.5024	1.0000	0		Spasticity (HP:0001257)-skeletal muscle fiber necrosis (MP:0009414), Postnatal microcephaly (HP:0005484)-fetal growth retardation (MP:0004201), 		Proximity to RBPJ associated with Adams-Oliver syndrome (ORPHA:974): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hypertonia (HP:0001276), Postnatal microcephaly (HP:0005484)-Failure to thrive (HP:0001508), 	Proximity to RBPJ Spasticity (HP:0001257)-abnormal fetal cardiomyocyte proliferation (MP:0003567), 	
SENP3	26168	0.5009	1.0000	0.7507	0.0000	0.0000	0.0000	0.5009	0.5009	1.0000	0				Proximity to RANBP2 associated with Familial acute necrotizing encephalopathy (ORPHA:88619): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Spastic tetraplegia (HP:0002510), Postnatal microcephaly (HP:0005484)-Gliosis (HP:0002171), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 		
PITPNM3	83394	0.5000	0.9992	0.7476	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to CCR1 associated with Behçet disease (ORPHA:117): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hemiparesis (HP:0001269), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 		
KIR2DL1	3802	0.5006	0.9962	0.7435	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to KLRC4 associated with Behçet disease (ORPHA:117): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hemiparesis (HP:0001269), Developmental regression (HP:0002376)-Developmental regression (HP:0002376), 		
CSMD1	64478	0.5000	0.9942	0.7389	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0					Proximity to GSX1 Spasticity (HP:0001257)-abnormal hypothalamus secretion (MP:0001752), Postnatal microcephaly (HP:0005484)-shortened head (MP:0000435), 	
DNAH10	196385	0.5006	0.9810	0.7161	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to PAFAH1B1 associated with Subcortical laminar heterotopia (OMIM:607432): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Spastic tetraparesis (HP:0001285), Postnatal microcephaly (HP:0005484)-Postnatal microcephaly (HP:0005484), 	Proximity to PAFAH1B1 Spasticity (HP:0001257)-abnormal neuronal migration (MP:0006009), Postnatal microcephaly (HP:0005484)-abnormal neocortex morphology (MP:0008547), 	
RBMXL2	27288	0.5000	0.9752	0.7038	0.0000	0.1866	0.0000	0.5000	0.5000	1.0000	0		Postnatal microcephaly (HP:0005484)-abnormal spermatid morphology (MP:0006380), 		Proximity to DNMT1 associated with Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome (ORPHA:314404): Spasticity (HP:0001257)-Spasticity (HP:0001257), Postnatal microcephaly (HP:0005484)-Cerebral atrophy (HP:0002059), 	Proximity to DNMT1 Postnatal microcephaly (HP:0005484)-postnatal growth retardation (MP:0001732), 	Proximity to DNMT1 Postnatal microcephaly (HP:0005484)-abnormal(ly) arrested intrahepatic bile duct development (ZP:0005660), 
TPTE	7179	0.5015	0.9183	0.5886	0.0000	0.0000	0.0000	0.5015	0.5015	1.0000	0				Proximity to RBPJ associated with Adams-Oliver syndrome (ORPHA:974): Seizure (HP:0001250)-Seizure (HP:0001250), Spasticity (HP:0001257)-Hypertonia (HP:0001276), Postnatal microcephaly (HP:0005484)-Failure to thrive (HP:0001508), 	Proximity to RBPJ Spasticity (HP:0001257)-abnormal fetal cardiomyocyte proliferation (MP:0003567), 	
