#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
CFTR	1080	0.8859	1.0000	0.9940	0.8859	0.7643	0.4251	0.5026	0.8859	1.0000	0	Cystic fibrosis (ORPHA:586): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Pulmonary fibrosis (HP:0002206)-Pulmonary fibrosis (HP:0002206), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Exocrine pancreatic insufficiency (HP:0001738), 	Malabsorption (HP:0002024)-abnormal intestine morphology (MP:0000477), Pulmonary fibrosis (HP:0002206)-pulmonary interstitial fibrosis (MP:0003426), Recurrent respiratory infections (HP:0002205)-lung inflammation (MP:0001861), Exocrine pancreatic insufficiency (HP:0001738)-abnormal intestine morphology (MP:0000477), 	Recurrent respiratory infections (HP:0002205)-abnormal(ly) disrupted respiratory burst involved in inflammatory response (ZP:0007726), Exocrine pancreatic insufficiency (HP:0001738)-abnormal(ly) morphology pancreas (ZP:0002010), 	Proximity to SPINK1 associated with Pancreatitis, hereditary (OMIM:167800): Malabsorption (HP:0002024)-Steatorrhea (HP:0002570), Pulmonary fibrosis (HP:0002206)-Pleural effusion (HP:0002202), Recurrent respiratory infections (HP:0002205)-Pleural effusion (HP:0002202), Exocrine pancreatic insufficiency (HP:0001738)-Exocrine pancreatic insufficiency (HP:0001738), 	Proximity to SPINK1 Malabsorption (HP:0002024)-abnormal small intestine morphology (MP:0000496), Exocrine pancreatic insufficiency (HP:0001738)-decreased pancreas regeneration (MP:0005520), 	
PEX1	5189	0.6396	0.9292	0.8692	0.6396	0.4855	0.0000	0.5135	0.6396	1.0000	0	Zellweger syndrome (ORPHA:912): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Exocrine pancreatic insufficiency (HP:0001738)-Hepatic failure (HP:0001399), 	Malabsorption (HP:0002024)-abnormal intestinal lipid absorption (MP:0005342), Exocrine pancreatic insufficiency (HP:0001738)-abnormal intestinal lipid absorption (MP:0005342), 		Proximity to PEX26 associated with Zellweger syndrome (ORPHA:912): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Exocrine pancreatic insufficiency (HP:0001738)-Hepatic failure (HP:0001399), 	Proximity to PEX26 Exocrine pancreatic insufficiency (HP:0001738)-enlarged spleen (MP:0000691), 	
DMXL2	23312	0.5001	1.0000	0.7492	0.2561	0.0000	0.0000	0.5001	0.5001	1.0000	0	Polyendocrine-polyneuropathy syndrome (ORPHA:453533): Exocrine pancreatic insufficiency (HP:0001738)-Central hypothyroidism (HP:0011787), 			Proximity to SLC18A3 associated with Presynaptic congenital myasthenic syndromes (ORPHA:98914): Malabsorption (HP:0002024)-Gastroesophageal reflux (HP:0002020), Pulmonary fibrosis (HP:0002206)-Recurrent respiratory infections (HP:0002205), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Nasal regurgitation (HP:0011469), 		
ADGRA3	166647	0.5002	0.9973	0.7446	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to LRRC8A associated with Autosomal agammaglobulinemia (ORPHA:33110): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Pulmonary fibrosis (HP:0002206)-Recurrent respiratory infections (HP:0002205), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Diarrhea (HP:0002014), 	Proximity to LRRC8A Pulmonary fibrosis (HP:0002206)-abnormal lung morphology (MP:0001175), Recurrent respiratory infections (HP:0002205)-abnormal lung morphology (MP:0001175), 	
TPTE	7179	0.5010	0.9945	0.7412	0.0000	0.0000	0.0000	0.5010	0.5010	1.0000	0					Proximity to PIK3CB Pulmonary fibrosis (HP:0002206)-pulmonary fibrosis (MP:0006050), Recurrent respiratory infections (HP:0002205)-pulmonary fibrosis (MP:0006050), 	
CSH1	1442	0.5006	0.9842	0.7219	0.0000	0.2089	0.0000	0.5006	0.5006	1.0000	0		Exocrine pancreatic insufficiency (HP:0001738)-small liver (MP:0000601), 		Proximity to JAK2 associated with Budd-Chiari syndrome (ORPHA:131): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Recurrent respiratory infections (HP:0002205)-Peritonitis (HP:0002586), Exocrine pancreatic insufficiency (HP:0001738)-Acute hepatic failure (HP:0006554), 	Proximity to JAK2 Exocrine pancreatic insufficiency (HP:0001738)-abnormal spleen morphology (MP:0000689), 	
MCIDAS	345643	0.5906	0.8509	0.6603	0.5906	0.1864	0.0000	0.5000	0.5906	1.0000	0	Primary ciliary dyskinesia (ORPHA:244): Pulmonary fibrosis (HP:0002206)-Atelectasis (HP:0100750), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Asplenia (HP:0001746), 	Exocrine pancreatic insufficiency (HP:0001738)-abnormal spleen morphology (MP:0000689), 		Proximity to MCM6 associated with Lactase persistence/nonpersistence (OMIM:223100): Malabsorption (HP:0002024)-Lactose intolerance (HP:0004789), Exocrine pancreatic insufficiency (HP:0001738)-Diarrhea (HP:0002014), 		
COL6A6	131873	0.5019	0.9447	0.6468	0.0000	0.0000	0.0000	0.5019	0.5019	1.0000	0				Proximity to ITGA7 associated with Congenital fiber-type disproportion myopathy (ORPHA:2020): Malabsorption (HP:0002024)-Poor suck (HP:0002033), Pulmonary fibrosis (HP:0002206)-Pulmonary hypoplasia (HP:0002089), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Poor suck (HP:0002033), 		
KIF27	55582	0.5018	0.9298	0.6146	0.0000	0.2762	0.0000	0.5018	0.5018	1.0000	0		Pulmonary fibrosis (HP:0002206)-abnormal internal nares morphology (MP:0002236), Recurrent respiratory infections (HP:0002205)-abnormal internal nares morphology (MP:0002236), 		Proximity to CFTR associated with Cystic fibrosis (ORPHA:586): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Pulmonary fibrosis (HP:0002206)-Pulmonary fibrosis (HP:0002206), Recurrent respiratory infections (HP:0002205)-Recurrent respiratory infections (HP:0002205), Exocrine pancreatic insufficiency (HP:0001738)-Exocrine pancreatic insufficiency (HP:0001738), 	Proximity to CFTR Malabsorption (HP:0002024)-abnormal intestine morphology (MP:0000477), Pulmonary fibrosis (HP:0002206)-pulmonary interstitial fibrosis (MP:0003426), Recurrent respiratory infections (HP:0002205)-lung inflammation (MP:0001861), Exocrine pancreatic insufficiency (HP:0001738)-abnormal intestine morphology (MP:0000477), 	Proximity to CFTR Recurrent respiratory infections (HP:0002205)-abnormal(ly) disrupted respiratory burst involved in inflammatory response (ZP:0007726), Exocrine pancreatic insufficiency (HP:0001738)-abnormal(ly) morphology pancreas (ZP:0002010), 
VWF	7450	0.5034	0.9222	0.6020	0.3107	0.4177	0.0000	0.5034	0.5034	1.0000	0	von Willebrand disease, type 1 (OMIM:193400): Malabsorption (HP:0002024)-Gastrointestinal angiodysplasia (HP:0000471), Exocrine pancreatic insufficiency (HP:0001738)-Gastrointestinal hemorrhage (HP:0002239), 	Recurrent respiratory infections (HP:0002205)-increased susceptibility to bacterial infection (MP:0002412), 		Proximity to F5 associated with Budd-Chiari syndrome (ORPHA:131): Malabsorption (HP:0002024)-Malabsorption (HP:0002024), Recurrent respiratory infections (HP:0002205)-Peritonitis (HP:0002586), Exocrine pancreatic insufficiency (HP:0001738)-Acute hepatic failure (HP:0006554), 	Proximity to F5 Exocrine pancreatic insufficiency (HP:0001738)-liver fibrosis (MP:0003333), 	
