#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
COL2A1	1280	0.8389	1.0000	0.9902	0.8389	0.7913	0.0000	0.0000	0.8389	1.0000	0	Stickler syndrome, type I (OMIM:108300): Disproportionate tall stature (HP:0001519)-Disproportionate tall stature (HP:0001519), Midface retrusion (HP:0011800)-Midface retrusion (HP:0011800), Severe sensorineural hearing impairment (HP:0008625)-Sensorineural hearing impairment (HP:0000407), Myopia (HP:0000545)-Myopia (HP:0000545), Cleft palate (HP:0000175)-Cleft palate (HP:0000175), High palate (HP:0000218)-Cleft palate (HP:0000175), 	Midface retrusion (HP:0011800)-midface hypoplasia (MP:0012085), Myopia (HP:0000545)-cyclopia (MP:0005163), Cleft palate (HP:0000175)-midface hypoplasia (MP:0012085), High palate (HP:0000218)-midface hypoplasia (MP:0012085), 				
MYH11	4629	0.6434	0.9946	0.9265	0.6434	0.2692	0.0000	0.5030	0.6434	1.0000	0	Familial thoracic aortic aneurysm and aortic dissection (ORPHA:91387): Disproportionate tall stature (HP:0001519)-Tall stature (HP:0000098), Midface retrusion (HP:0011800)-High, narrow palate (HP:0002705), Cleft palate (HP:0000175)-High, narrow palate (HP:0002705), High palate (HP:0000218)-High, narrow palate (HP:0002705), 	Cleft palate (HP:0000175)-abnormal digestive system morphology (MP:0000462), High palate (HP:0000218)-abnormal digestive system morphology (MP:0000462), 		Proximity to TPM3 associated with Childhood-onset nemaline myopathy (ORPHA:171439): Disproportionate tall stature (HP:0001519)-Slender build (HP:0001533), Midface retrusion (HP:0011800)-Narrow face (HP:0000275), Cleft palate (HP:0000175)-High palate (HP:0000218), High palate (HP:0000218)-High palate (HP:0000218), 		
RYR1	6261	0.6141	0.9917	0.9004	0.5552	0.6141	0.0000	0.5128	0.6141	1.0000	0	Congenital multicore myopathy with external ophthalmoplegia (ORPHA:98905): Midface retrusion (HP:0011800)-Narrow face (HP:0000275), Cleft palate (HP:0000175)-High palate (HP:0000218), High palate (HP:0000218)-High palate (HP:0000218), 	Midface retrusion (HP:0011800)-domed cranium (MP:0000440), Cleft palate (HP:0000175)-cleft secondary palate (MP:0009890), High palate (HP:0000218)-cleft secondary palate (MP:0009890), 		Proximity to ASPH associated with Traboulsi syndrome (OMIM:601552): Midface retrusion (HP:0011800)-Dental malocclusion (HP:0000689), Cleft palate (HP:0000175)-Dental malocclusion (HP:0000689), High palate (HP:0000218)-Dental malocclusion (HP:0000689), 	Proximity to ASPH Midface retrusion (HP:0011800)-short snout (MP:0000445), Cleft palate (HP:0000175)-cleft palate (MP:0000111), High palate (HP:0000218)-cleft palate (MP:0000111), 	
CNOT1	23019	0.5898	0.9874	0.8711	0.5898	0.0000	0.0000	0.0000	0.5898	1.0000	0	Holoprosencephaly 12, with or without pancreatic agenesis (OMIM:618500): Midface retrusion (HP:0011800)-Depressed nasal bridge (HP:0005280), Severe sensorineural hearing impairment (HP:0008625)-Sensorineural hearing impairment (HP:0000407), Cleft palate (HP:0000175)-High palate (HP:0000218), High palate (HP:0000218)-High palate (HP:0000218), 					
SMARCA4	6597	0.5855	0.9895	0.8682	0.5855	0.4027	0.2209	0.5088	0.5855	1.0000	0	Coffin-Siris syndrome (ORPHA:1465): Disproportionate tall stature (HP:0001519)-Short stature (HP:0004322), Midface retrusion (HP:0011800)-Depressed nasal bridge (HP:0005280), Severe sensorineural hearing impairment (HP:0008625)-Hearing impairment (HP:0000365), Cleft palate (HP:0000175)-Cleft palate (HP:0000175), High palate (HP:0000218)-Cleft palate (HP:0000175), 	Midface retrusion (HP:0011800)-micrognathia (MP:0002639), Myopia (HP:0000545)-anophthalmia (MP:0001293), Cleft palate (HP:0000175)-micrognathia (MP:0002639), High palate (HP:0000218)-micrognathia (MP:0002639), 	Severe sensorineural hearing impairment (HP:0008625)-abnormal(ly) morphology inner ear (ZP:0001246), 	Proximity to ARID1B associated with Coffin-Siris syndrome 1 (OMIM:135900): Disproportionate tall stature (HP:0001519)-Short stature (HP:0004322), Midface retrusion (HP:0011800)-Depressed nasal bridge (HP:0005280), Severe sensorineural hearing impairment (HP:0008625)-Hearing impairment (HP:0000365), Myopia (HP:0000545)-Myopia (HP:0000545), Cleft palate (HP:0000175)-Cleft palate (HP:0000175), High palate (HP:0000218)-High palate (HP:0000218), 		
LRP6	4040	0.6793	0.8368	0.8112	0.2187	0.6793	0.0000	0.5291	0.6793	1.0000	0	Oligodontia (ORPHA:99798): Midface retrusion (HP:0011800)-Hypoplasia of the maxilla (HP:0000327), Cleft palate (HP:0000175)-Hypoplasia of the maxilla (HP:0000327), High palate (HP:0000218)-Hypoplasia of the maxilla (HP:0000327), 	Disproportionate tall stature (HP:0001519)-short limbs (MP:0000547), Midface retrusion (HP:0011800)-cleft upper lip (MP:0005170), Myopia (HP:0000545)-abnormal eye development (MP:0001286), Cleft palate (HP:0000175)-cleft palate (MP:0000111), High palate (HP:0000218)-cleft palate (MP:0000111), 		Proximity to ANTXR1 associated with GAPO syndrome (ORPHA:2067): Disproportionate tall stature (HP:0001519)-Short stature (HP:0004322), Midface retrusion (HP:0011800)-Midface retrusion (HP:0011800), Severe sensorineural hearing impairment (HP:0008625)-Hearing impairment (HP:0000365), Myopia (HP:0000545)-Myopia (HP:0000545), Cleft palate (HP:0000175)-Abnormal palate morphology (HP:0000174), High palate (HP:0000218)-Abnormal palate morphology (HP:0000174), 	Proximity to ANTXR1 Midface retrusion (HP:0011800)-abnormal cranial suture morphology (MP:0002835), Cleft palate (HP:0000175)-malocclusion (MP:0000120), High palate (HP:0000218)-malocclusion (MP:0000120), 	
CPLANE2	79363	0.5338	0.9929	0.7988	0.0000	0.4608	0.0000	0.5338	0.5338	1.0000	0		Midface retrusion (HP:0011800)-cleft upper lip (MP:0005170), Cleft palate (HP:0000175)-cleft upper lip (MP:0005170), High palate (HP:0000218)-cleft upper lip (MP:0005170), 		Proximity to FUZ associated with Caudal regression sequence (ORPHA:3027): Cleft palate (HP:0000175)-Oral cleft (HP:0000202), High palate (HP:0000218)-Anal atresia (HP:0002023), 	Proximity to FUZ Midface retrusion (HP:0011800)-maxilla hypoplasia (MP:0000457), Severe sensorineural hearing impairment (HP:0008625)-abnormal cochlea morphology (MP:0000031), Myopia (HP:0000545)-anophthalmia (MP:0001293), Cleft palate (HP:0000175)-cleft secondary palate (MP:0009890), High palate (HP:0000218)-cleft secondary palate (MP:0009890), 	
ZNF280A	129025	0.5271	0.9940	0.7891	0.0000	0.0000	0.0000	0.5271	0.5271	1.0000	0				Proximity to QRICH1 associated with Ververi-Brady syndrome (OMIM:617982): Midface retrusion (HP:0011800)-Smooth philtrum (HP:0000319), Cleft palate (HP:0000175)-Smooth philtrum (HP:0000319), High palate (HP:0000218)-Smooth philtrum (HP:0000319), 	Proximity to QRICH1 Midface retrusion (HP:0011800)-cleft palate (MP:0000111), Cleft palate (HP:0000175)-cleft palate (MP:0000111), High palate (HP:0000218)-cleft palate (MP:0000111), 	
ADAMTS5	11096	0.5198	0.9919	0.7728	0.0000	0.0000	0.0000	0.5198	0.5198	1.0000	0				Proximity to B3GLCT associated with Peters-plus syndrome (OMIM:261540): Disproportionate tall stature (HP:0001519)-Birth length less than 3rd percentile (HP:0003561), Midface retrusion (HP:0011800)-Long face (HP:0000276), Severe sensorineural hearing impairment (HP:0008625)-Hearing impairment (HP:0000365), Myopia (HP:0000545)-Myopia (HP:0000545), Cleft palate (HP:0000175)-Cleft palate (HP:0000175), High palate (HP:0000218)-Cleft palate (HP:0000175), 	Proximity to B3GLCT Midface retrusion (HP:0011800)-short face (MP:0030066), Myopia (HP:0000545)-ocular hypertelorism (MP:0001300), Cleft palate (HP:0000175)-short face (MP:0030066), High palate (HP:0000218)-short face (MP:0030066), 	
USO1	8615	0.5244	0.9844	0.7691	0.0000	0.0000	0.0000	0.5244	0.5244	1.0000	0					Proximity to GOLGB1 Midface retrusion (HP:0011800)-failure of palatal shelf elevation (MP:0009886), Cleft palate (HP:0000175)-cleft palate (MP:0000111), High palate (HP:0000218)-cleft palate (MP:0000111), 	
