#GENE_SYMBOL	ENTREZ_GENE_ID	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	EXOMISER_GENE_COMBINED_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
ANKRD11	29123	0.9686	1.0000	0.9974	0.9686	0.5411	0.0000	0.5009	0.9686	1.0000	0	KBG syndrome (OMIM:148050): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Triangular face (HP:0000325)-Triangular face (HP:0000325), Macrotia (HP:0000400)-Macrotia (HP:0000400), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Long palpebral fissure (HP:0000637), Macrodontia (HP:0001572)-Macrodontia (HP:0001572), 	Microcephaly (HP:0000252)-increased cranium width (MP:0000441), Triangular face (HP:0000325)-broad face (MP:0030069), Macrodontia (HP:0001572)-abnormal nasal bone morphology (MP:0000102), 			Proximity to NCOA3 Triangular face (HP:0000325)-abnormal tooth morphology (MP:0002100), Hypertelorism (HP:0000316)-persistence of hyaloid vascular system (MP:0001289), Long palpebral fissure (HP:0000637)-persistence of hyaloid vascular system (MP:0001289), Macrodontia (HP:0001572)-abnormal tooth morphology (MP:0002100), 	
WDR11	55717	0.7597	0.9973	0.9774	0.5118	0.7597	0.0000	0.0000	0.7597	1.0000	0	Normosmic congenital hypogonadotropic hypogonadism (ORPHA:432): Short stature (HP:0004322)-Abnormality of body height (HP:0000002), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Macrodontia (HP:0001572)-Abnormality of the dentition (HP:0000164), 	Short stature (HP:0004322)-short limbs (MP:0000547), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Triangular face (HP:0000325)-abnormal facial morphology (MP:0003743), Hypertelorism (HP:0000316)-ocular hypotelorism (MP:0006197), Long palpebral fissure (HP:0000637)-abnormal eye development (MP:0001286), Macrodontia (HP:0001572)-small mandible (MP:0004592), 				
MVK	4598	0.7525	0.9858	0.9731	0.7525	0.3932	0.0000	0.5004	0.7525	1.0000	0	Mevalonic aciduria (ORPHA:29): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Triangular face (HP:0000325)-Triangular face (HP:0000325), Macrotia (HP:0000400)-Low-set, posteriorly rotated ears (HP:0000368), Long palpebral fissure (HP:0000637)-Downslanted palpebral fissures (HP:0000494), Macrodontia (HP:0001572)-Large fontanelles (HP:0000239), 	Microcephaly (HP:0000252)-abnormal forebrain development (MP:0003232), Hypertelorism (HP:0000316)-microphthalmia (MP:0001297), Long palpebral fissure (HP:0000637)-microphthalmia (MP:0001297), 		Proximity to PDSS2 associated with Leigh syndrome with nephrotic syndrome (ORPHA:255249): Short stature (HP:0004322)-Intrauterine growth retardation (HP:0001511), 	Proximity to PDSS2 Triangular face (HP:0000325)-abnormal tooth morphology (MP:0002100), Hypertelorism (HP:0000316)-cataract (MP:0001304), Long palpebral fissure (HP:0000637)-cataract (MP:0001304), Macrodontia (HP:0001572)-abnormal tooth morphology (MP:0002100), 	
BPTF	2186	0.6849	0.9857	0.9470	0.6849	0.2462	0.0000	0.5074	0.6849	1.0000	0	Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies (OMIM:617755): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Short palpebral fissure (HP:0012745), Macrodontia (HP:0001572)-Micrognathia (HP:0000347), 	Short stature (HP:0004322)-embryonic growth retardation (MP:0003984), 		Proximity to WDR73 associated with Galloway-Mowat syndrome (ORPHA:2065): Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Macrotia (HP:0000400)-Macrotia (HP:0000400), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Macrodontia (HP:0001572)-Micrognathia (HP:0000347), 		
FAT1	2195	0.6987	0.9694	0.9467	0.0000	0.6987	0.0000	0.5022	0.6987	1.0000	0		Microcephaly (HP:0000252)-holoprosencephaly (MP:0005157), Triangular face (HP:0000325)-proboscis (MP:0006290), Hypertelorism (HP:0000316)-cyclopia (MP:0005163), Long palpebral fissure (HP:0000637)-anophthalmia (MP:0001293), Macrodontia (HP:0001572)-proboscis (MP:0006290), 		Proximity to DCHS1 associated with Van Maldergem syndrome 1 (OMIM:601390): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Growth delay (HP:0001510), Microcephaly (HP:0000252)-Hypoplasia of the corpus callosum (HP:0002079), Macrotia (HP:0000400)-Microtia (HP:0008551), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Short palpebral fissure (HP:0012745), Macrodontia (HP:0001572)-Dental malocclusion (HP:0000689), 	Proximity to DCHS1 Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), Macrotia (HP:0000400)-abnormal cochlea morphology (MP:0000031), 	
DCHS1	8642	0.6812	0.9882	0.9462	0.6812	0.3666	0.0000	0.5014	0.6812	1.0000	0	Van Maldergem syndrome 1 (OMIM:601390): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Growth delay (HP:0001510), Microcephaly (HP:0000252)-Hypoplasia of the corpus callosum (HP:0002079), Macrotia (HP:0000400)-Microtia (HP:0008551), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Short palpebral fissure (HP:0012745), Macrodontia (HP:0001572)-Dental malocclusion (HP:0000689), 	Short stature (HP:0004322)-postnatal growth retardation (MP:0001732), Macrotia (HP:0000400)-abnormal cochlea morphology (MP:0000031), 		Proximity to FAT4 associated with Van Maldergem syndrome 2 (OMIM:615546): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Growth delay (HP:0001510), Microcephaly (HP:0000252)-Hypoplasia of the corpus callosum (HP:0002079), Macrotia (HP:0000400)-Microtia (HP:0008551), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Short palpebral fissure (HP:0012745), Macrodontia (HP:0001572)-Dental malocclusion (HP:0000689), 	Proximity to FAT4 Macrotia (HP:0000400)-abnormal cochlea morphology (MP:0000031), 	
AIP	9049	0.6443	0.9876	0.9226	0.6443	0.0000	0.0000	0.5001	0.6443	1.0000	0	Acromegaly (ORPHA:963): Short stature (HP:0004322)-Tall stature (HP:0000098), Macrotia (HP:0000400)-Macrotia (HP:0000400), Long palpebral fissure (HP:0000637)-Palpebral edema (HP:0100540), Macrodontia (HP:0001572)-Widely spaced teeth (HP:0000687), 				Proximity to AFF3 Triangular face (HP:0000325)-abnormal snout morphology (MP:0000443), Macrodontia (HP:0001572)-abnormal tooth morphology (MP:0002100), 	
SH3BP2	6452	0.6099	0.9963	0.9004	0.5056	0.6099	0.0000	0.5012	0.6099	1.0000	0	Cherubism (ORPHA:184): Hypertelorism (HP:0000316)-Proptosis (HP:0000520), Macrodontia (HP:0001572)-Abnormality of dental morphology (HP:0006482), 	Triangular face (HP:0000325)-abnormal jaw morphology (MP:0000454), Hypertelorism (HP:0000316)-blepharitis (MP:0005251), Long palpebral fissure (HP:0000637)-blepharitis (MP:0005251), Macrodontia (HP:0001572)-alveolar process atrophy (MP:0030466), 		Proximity to BCR associated with Distal 22q11.2 microdeletion syndrome (ORPHA:261330): Intellectual disability (HP:0001249)-Intellectual disability (HP:0001249), Short stature (HP:0004322)-Short stature (HP:0004322), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Macrotia (HP:0000400)-Abnormality of earlobe (HP:0000363), Hypertelorism (HP:0000316)-Deeply set eye (HP:0000490), Long palpebral fissure (HP:0000637)-Blepharophimosis (HP:0000581), Macrodontia (HP:0001572)-Pointed chin (HP:0000307), 		
ABL1	25	0.6067	0.9973	0.8981	0.5482	0.6067	0.0000	0.5060	0.6067	1.0000	0	Congenital heart defects and skeletal malformations syndrome (OMIM:617602): Short stature (HP:0004322)-Short stature (HP:0004322), Hypertelorism (HP:0000316)-Deeply set eye (HP:0000490), Macrodontia (HP:0001572)-Carious teeth (HP:0000670), 	Microcephaly (HP:0000252)-decreased cranium height (MP:0008525), Hypertelorism (HP:0000316)-cataract (MP:0001304), Long palpebral fissure (HP:0000637)-eyelids open at birth (MP:0001302), 		Proximity to SH3BP2 associated with Cherubism (ORPHA:184): Hypertelorism (HP:0000316)-Proptosis (HP:0000520), Macrodontia (HP:0001572)-Abnormality of dental morphology (HP:0006482), 	Proximity to SH3BP2 Triangular face (HP:0000325)-abnormal jaw morphology (MP:0000454), Hypertelorism (HP:0000316)-blepharitis (MP:0005251), Long palpebral fissure (HP:0000637)-blepharitis (MP:0005251), Macrodontia (HP:0001572)-alveolar process atrophy (MP:0030466), 	
SPECC1L	23384	0.5921	0.9973	0.8834	0.5921	0.0000	0.2943	0.0000	0.5921	1.0000	0	Hypertelorism, Teebi type (ORPHA:1519): Microcephaly (HP:0000252)-Brachycephaly (HP:0000248), Macrotia (HP:0000400)-Abnormality of the helix (HP:0011039), Hypertelorism (HP:0000316)-Hypertelorism (HP:0000316), Long palpebral fissure (HP:0000637)-Ptosis (HP:0000508), Macrodontia (HP:0001572)-Advanced eruption of teeth (HP:0006288), 		Macrodontia (HP:0001572)-abnormal(ly) malformed mandibular arch skeleton (ZP:0001708), 			
